serotype,1,10,100,1000
enterica,24.73,22.39,23.36,24.28
typhimurium,23.83,24.25,23.82,24.75
irumu,24.22,24.95,24.78,24.36
newport,24.15,23.99,24.51,23.83
infantis,24.34,24.12,24.15,28.22
"4,[5], 12:i:- ",29.6,27.32,28.51,27.36
montevideo,28.45,27.39,27.59,28.09
cerro,27.12,27.26,27.7,27.52
hadar,27.37,26.88,29.26,29.22
muenchen,28.75,28.77,27.92,32.6
