serotype,SmartCycler,ABI 7500
E. coli,0,0
P. aeruginosa,0,0
E. cloacae,0,0
S. flexneri,0,0
S. sonnei,0,0
S. maltophilia,0,0
P. mirabilis,0,0
M. morganii,0,0
C. freundii,0,0
C. freundii complex,0,0
