serotype,SmartCycler,ABI 7500
E. coli,29.88,22.2911
P. aeruginosa,29.24,22.8407
E. cloacae,29.52,22.3521
S. flexneri,29.09,21.5908
S. sonnei,32.95,23.6302
S. maltophilia,29.25,23.3602
P. mirabilis,28.51,22.7452
M. morganii,28.62,24.1818
C. freundii,29.8,23.5153
C. freundii complex,29.05,22.5894
