dilution,enterica,typhimurium,irumu,newport,infantis,"4,[5], 12:i:- ",montevideo,cerro,hadar,muenchen
1,25.2,23.5602,24.466,23.4715,25.1414,24.8543,25.4987,26.3656,25.0536,28.0203
10,29.1018,27.388,28.341,27.2113,28.7304,28.371,29.1544,29.8812,29.0527,31.6686
100,32.8037,30.699,31.7757,30.631,32.0971,32.1124,32.6437,33.6275,32.6122,35.1989
1000,37.2037,34.6879,36.0068,34.2715,36.1676,35.8733,36.461,37.9067,36.4998,0
