,A1,A1,A1,A1,A1,A1,A2,A2,A2,A2,A2,A2,A3,A3,A3,A3,A3,A3,A4,A4,A4,A4,A4,A4,A5,A5,A5,A5,A5,A5,A6,A6,A6,A6,A6,A6,A7,A7,A7,A7,A7,A7,A8,A8,A8,A8,A8,A8,A9,A9,A9,A9,A9,A9,A10,A10,A10,A10,A10,A10,A11,A11,A11,A11,A11,A11,A12,A12,A12,A12,A12,A12
,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2
Cycle #,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2
9,1.206662902315088,-12.5,0.45338345864659485,0.0,-0.37151437151437156,0.0,0.5117117117116907,0.0,0.018045112781973523,6.25,0.6267267267267268,-6.25,-1.1246246246246365,6.25,0.6554112554112692,-6.25,0.0,0.0,-0.07790647790648109,0.0,-1.7053025658242404E-14,0.0,0.16121836121836122,-6.25,-0.9001287001286917,18.75,-0.01904761904763177,-6.25,0.15950235950235953,-6.25,0.26259116259117266,-12.5,0.27705627705626623,-6.25,0.0,0.0,-1.7952809952809876,6.25,-1.0676923076922644,6.25,-0.7138138138138137,6.25,-2.0110253110253278,12.5,-0.678147939017468,6.25,0.17340197340197333,-6.25,0.2651651651651621,-6.25,1.258008658008643,0.0,-0.11141141141141127,0.0,-0.25173745173742645,0.0,-0.058008658008651535,6.25,-0.027842127842127803,0.0,-0.8745602745602484,0.0,0.4477696216826286,-12.5,0.09159159159159144,-6.25,-0.5886743886744106,0.0,0.688876341050207,-12.5,-0.007250107250107333,0.0
10,0.9440993788820151,-6.25,0.5345864661654607,6.25,-0.37280137280137277,6.25,0.3873873873874134,0.0,0.5511278195488641,0.0,0.6276276276276277,-12.5,-0.6606606606606599,0.0,0.6969696969697055,0.0,0.0,0.0,-1.098884598884581,12.5,-0.428571428571405,-6.25,-0.8157443157443157,12.5,0.17889317889317422,6.25,-0.11904761904759767,6.25,0.18060918060918058,0.0,0.22050622050621768,-6.25,-0.6580086580086629,6.25,0.0,0.0,-0.781638781638802,0.0,0.7407692307692647,-12.5,0.3123123123123123,-6.25,-0.11926211926209557,-12.5,0.7758328627894245,-6.25,-0.8065208065208066,12.5,0.14264264264266038,6.25,1.9372294372294134,-6.25,-0.08258258258258251,0.0,0.4150579150579006,-6.25,0.9913419913419773,-6.25,-0.021664521664521704,0.0,0.08322608322609833,-6.25,0.19706380575943122,6.25,0.13213213213213224,0.0,-0.4092664092664271,6.25,1.086391869000625,-12.5,0.02209352209352222,0.0
11,0.6815358554488853,0.0,1.6157894736842129,-6.25,-0.374088374088374,0.0,1.2630630630630792,-6.25,1.0842105263158117,-12.5,0.6285285285285286,-6.249999999999998,-1.196696696696683,6.25,0.7385281385281417,-6.25,0.0,0.0,-0.11986271986273778,0.0,-0.8571428571428499,6.25,-0.7927069927069926,12.5,0.25791505791504016,-12.5,-0.2190476190476204,12.5,-0.7982839982839981,12.5,-0.8215787215787372,12.5,-0.5930735930735921,6.25,0.0,0.0,0.23200343200344054,0.0,0.5492307692307937,0.0,-0.6615615615615615,6.25,0.7725010725010796,-18.75,1.2298136645963171,-12.5,-0.7864435864435865,12.5,1.0201201201201018,0.0,2.616450216450241,-12.499999999999645,-0.05375375375375376,0.0,0.08185328185328444,6.25,1.0406926406926629,-6.25,-0.015486915486915494,0.0,0.04101244101244512,6.25,0.9463579898362339,12.5,0.17267267267267258,0.0,-1.2298584298584436,12.5,0.48390739695092916,6.25,0.05143715143715133,0.0
12,0.4189723320158123,6.249999999999998,1.696992481202965,-12.5,0.6246246246246246,-6.25,1.138738738738745,-6.249999999999645,0.6172932330827022,2.6020852139652106E-16,-0.3705705705705706,6.25,-0.7327327327327063,-3.552713678800501E-13,0.7800865800865779,-6.2500000000003535,0.0,0.0,-0.1408408408408377,-6.250000000000355,-1.2857142857142947,12.500000000000355,0.23033033033033032,-12.5,0.33693693693696297,0.0,0.6809523809523569,-6.25,0.2228228228228229,-6.250000000000002,0.1363363363363078,-4.3368086899420177E-16,-0.5281385281385212,-3.552713678800501E-13,0.0,0.0,0.2456456456456262,12.500000000000004,1.3576923076923226,12.499999999999998,0.3645645645645645,0.0,0.6642642642642548,0.0,1.6837944664032096,-6.250000000000709,0.2336336336336337,-12.5,1.8975975975976,-25.0,2.2956709956710113,-25.0,-0.024924924924925002,0.0,0.7486486486486683,-3.469446951953614E-16,1.0900432900432917,-3.469446951953614E-16,-0.009309309309309285,0.0,0.998798798798792,3.552713678800501E-13,1.6956521739130364,-6.25,0.21321321321321315,0.0,-0.050450450450460135,4.3368086899420177E-16,0.8814229249012333,7.121907230622782E-13,0.08078078078078088,0.0
13,0.1564088085827393,6.250000000000355,1.778195488721831,7.105427357601002E-13,-0.3766623766623766,6.25,1.014414414414411,0.0,0.1503759398496497,3.552713678800501E-13,-0.3696696696696697,6.249999999999999,-0.26876876876878636,-6.250000000000355,-0.17835497835498587,6.249999999999643,0.0,0.0,-0.16181896181893762,-3.552713678800501E-13,-0.7142857142857395,9.107298248878237E-16,0.25336765336765343,-6.249999999999998,-0.584041184041171,6.25,1.5809523809523909,-18.75000000000036,0.24392964392964395,-6.250000000000002,0.09425139425140969,-6.25,-0.4632034632034504,6.249999999999645,0.0,0.0,2.2592878592878685,-12.500000000000355,2.166153846153852,6.2500000000007105,0.39069069069069057,-6.250000000000002,0.55602745602743,12.5,1.137775268210102,6.2499999999992895,0.25371085371085383,-12.500000000000004,1.7750750750750983,-25.000000000000348,1.9748917748917818,-18.749999999999996,0.003903903903903976,-6.25,1.4154440154439953,-12.499999999999647,1.1393939393939205,0.0,-0.0031317031317030755,0.0,1.9565851565851387,-12.500000000000355,3.444946357989839,-12.50000000000071,0.2537537537537537,4.336808689942018E-17,0.12895752895752333,-6.249999999999645,1.2789384528515375,-6.2499999999992895,0.11012441012440999,0.0
14,0.8938452851496095,-6.938893903907228E-16,0.8593984962405832,6.25,0.6220506220506222,-6.938893903907228E-16,0.8900900900900768,-3.535366444040733E-13,0.6834586466165403,-6.249999999999998,-0.3687687687687688,0.0,-0.8048048048048096,6.25,-0.13679653679654963,6.25,0.0,0.0,-0.1827970827970944,-3.469446951953614E-16,-0.14285714285712742,-6.249999999999998,-0.7235950235950236,6.249999999999997,0.4949806949806949,-3.563122019656362E-13,0.48095238095236825,3.469446951953614E-16,-0.734963534963535,12.5,0.05216645216645475,-1.734723475976807E-16,-0.39826839826837956,1.0408340855860843E-15,0.0,0.0,3.272930072930054,-24.999999999999645,3.974615384615381,-12.5,0.41681681681681687,-6.25,1.4477906477906621,-3.552713678800501E-13,1.5917560700169946,6.25,-0.7262119262119261,6.25,-0.34744744744746026,12.500000000000355,-1.3458874458874477,25.0,0.03273273273273295,0.0,1.0822393822393792,-6.250000000000357,1.1887445887446062,-6.249999999999646,0.003045903045903134,0.0,1.9143715143715423,-6.250000000000002,2.1942405420666415,-6.249999999999288,0.29429429429429427,-6.69107626448197E-16,0.3083655083655068,0.0,0.6764539808018417,12.5,0.13946803946803954,0.0
15,0.6312817617165365,-6.250000000000355,1.940601503759449,-12.5,0.6207636207636208,-6.249999999999998,0.7657657657657426,0.0,-0.7834586466165122,12.500000000000355,-0.3678678678678679,0.0,-0.3408408408408328,6.249999999999645,-0.09523809523811337,3.552713678800501E-13,0.0,0.0,-0.2037752037751943,-3.552713678800501E-13,-0.5714285714285723,6.250000000000355,0.2994422994422995,-6.25,-0.4259974259974391,6.250000000000355,0.38095238095240236,6.250000000000355,0.28614328614328605,-1.5612511283791264E-15,0.0100815100814998,6.25,0.6666666666666913,-12.499999999999645,0.0,0.0,2.2865722865722966,-3.552713678800501E-13,4.7830769230769095,-18.74999999999929,0.44294294294294295,-2.7755575615628914E-15,2.339553839553837,-6.249999999999645,2.045736871823887,-6.2500000000007105,-0.706134706134706,6.25,-1.469969969969962,25.000000000000355,-1.6666666666666772,25.0,-0.9384384384384385,12.5,0.7490347490347631,6.250000000000355,1.238095238095235,-12.500000000000355,0.009223509223509122,0.0,1.872157872157889,0.0,3.943534726143444,-12.49999999999929,0.33483483483483484,-8.673617379884035E-17,0.4877734877734903,6.249999999999645,1.073969508752146,0.0,0.1688116688116691,0.0
16,1.3687182382834635,-12.499999999999998,1.0218045112782013,-6.25,0.6194766194766196,-6.250000000000002,0.6414414414414653,0.0,-0.2503759398496216,6.25,-0.366966966966967,1.3877787807814457E-15,0.12312312312314394,3.5492442318485473E-13,-0.05367965367967713,-3.559652572704408E-13,0.0,0.0,-0.22475332475335108,-3.5492442318485473E-13,-1.7053025658242404E-14,0.0,-0.6775203775203774,6.250000000000002,0.6530244530244269,-6.250000000000355,0.2809523809523796,6.249999999999645,0.3072501072501073,-6.249999999999998,-0.032003432003455144,6.250000000000355,-0.2683982683982947,3.5492442318485473E-13,0.0,0.0,2.3002145002144823,6.938893903907228E-16,4.5915384615384385,-25.0,-0.5309309309309309,12.5,2.2313170313170123,6.938893903907228E-16,2.499717673630666,-12.49999999999929,-0.6860574860574863,6.250000000000005,-0.5924924924924637,0.0,-0.9874458874459066,0.0,0.09039039039039047,0.0,0.4158301158300901,-3.5388358909926865E-13,0.28744588744586397,-6.250000000000002,0.015401115401115332,0.0,1.829944229944236,-3.571795637036246E-13,1.6928289102202467,0.0,0.3753753753753752,5.637851296924623E-16,0.6671814671814738,6.250000000000355,2.4714850367024503,-25.00000000000071,0.1981552981552982,0.0
17,0.10615471485039052,-3.552713678800501E-13,0.10300751879695351,-3.469446951953614E-15,0.6181896181896182,0.0,0.5171171171171312,-3.5665914666083154E-13,0.2827067669173259,-12.499999999999645,-0.3660660660660661,0.0,0.5870870870870638,-6.249999999999645,-0.012121212121240888,3.552713678800501E-13,0.0,0.0,-0.245731445731451,-3.552713678800501E-13,0.5714285714285949,-12.499999999999998,-0.6544830544830544,6.250000000000002,0.7320463320463497,-18.75,0.18095238095235686,-3.559652572704408E-13,0.32835692835692837,0.0,0.9259116259116468,-6.25,-0.20346320346322386,6.249999999999999,0.0,0.0,2.3138567138567248,-6.249999999999998,4.3999999999999675,-12.499999999999998,0.4951951951951951,-6.071532165918825E-16,3.1230802230802444,-12.5,1.9536984754375584,-12.499999999999293,-0.6659802659802662,6.25,-0.7150150150150223,0.0,-1.3082251082251362,0.0,0.11921921921921945,-6.250000000000003,1.082625482625474,-12.5,-0.6632034632034504,6.25,0.02157872157872154,0.0,1.7877305877305827,0.0,2.4421230942970493,-6.249999999999998,0.415915915915916,-1.3444106938820255E-15,1.8465894465894572,-18.75,0.8690005646527543,-6.2500000000007105,0.2274989274989273,0.0
18,-0.1564088085827393,6.250000000000002,0.18421052631581938,-6.249999999999287,-0.3830973830973831,6.250000000000003,0.392792792792797,-3.5735303605122226E-13,-0.1842105263157835,0.0,-0.36516516516516523,2.168404344971009E-17,1.0510510510510407,-6.250000000000355,0.0294372294372522,0.0,0.0,0.0,-0.2667095667095509,6.25,0.14285714285715018,-6.938893903907228E-16,0.3685542685542686,-6.25,-0.18893178893178433,0.0,1.0809523809523909,-12.5,0.3494637494637494,6.938893903907228E-16,0.8838266838266918,-6.25,-0.13852813852815302,3.552713678800501E-13,0.0,0.0,1.3274989274989106,12.500000000000355,1.2084615384614967,25.00000000000071,0.5213213213213215,-12.499999999999998,3.0148434148434196,-18.75000000000035,1.4076792772444509,7.105427357601002E-13,0.354096954096954,-6.249999999999995,-0.837537537537524,12.5,-0.6290043290043087,-3.552713678800501E-13,0.14804804804804797,-5.551115123125783E-15,-0.25057915057914215,3.5457747848965937E-13,-1.6138528138528216,18.750000000000355,0.02775632775632775,0.0,1.7455169455169295,-6.250000000000353,1.191417278373852,-6.25,0.4564564564564563,-6.250000000000002,2.0259974259974407,-18.75,0.2665160926030586,12.499999999999998,0.25684255684255686,-6.25
