Run Summary        (Smart Cycler 2.0d)
Run Name:,SALM_SAMPLES1-5_DIL_SER_1
Started At:,"Mar 15, 2017 10:45 AM"
Number of Sites:,22

Cycle Data

Instrument A
,A1,A1,A1,A1,A2,A2,A2,A2,A3,A3,A3,A3,A4,A4,A4,A4,A5,A5,A5,A5,A6,A6,A6,A6,A7,A7,A7,A7,A8,A8,A8,A8,A9,A9,A9,A9,A10,A10,A10,A10,A11,A11,A11,A11,A12,A12,A12,A12,A13,A13,A13,A13,A14,A14,A14,A14,A15,A15,A15,A15,A16,A16,A16,A16
,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2
Cycle #,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2
9,-0.8475437605872246,12.5,-0.3956043956043705,6.25,0.11887601887603491,0.0,-0.47785547785543836,0.0,-0.8529411764705657,12.5,0.04852941176476027,6.25,0.21278195488723609,6.25,1.2637362637362826,-12.5,-0.7233201581027463,18.75,-0.2970588235293917,6.25,1.1113146113146313,-12.5,1.8921568627450824,-12.5,0.380952380952408,-6.25,-0.6102941176470191,12.5,0.03508771929825924,0.0,0.40196078431369386,-6.25,0.6290231507623043,-6.25,1.2573529411764335,-12.5,0.37606837606838783,-6.25,0.9509803921569002,-6.25,0.30392156862744457,-6.25,0.0,0.0,0.20300751879697027,0.0,2.549019607843192,-31.25,-0.9956521739130375,12.5,0.19607843137256964,0.0,-0.12942612942612186,-12.5,2.5490196078431566,-31.25,0.5,0.0,-0.5784313725490406,6.25,0.10526315789474931,0.0,0.5382352941176881,0.0
10,-0.11575381140599054,0.0,-0.7747252747253034,6.25,0.040111540111565445,-6.25,-1.1037296037295723,12.5,-0.43382352941178226,6.25,1.2132352941176654,-12.5,0.31954887218045025,-6.25,-0.4131868131868347,6.25,-0.6324110671936812,6.25,-0.42647058823527006,0.0,-0.016280016280015495,0.0,1.0661764705882888,0.0,-0.5904761904761813,0.0,-0.2573529411765245,6.25,0.14385964912282942,-6.25,-0.6250000000000071,6.25,1.0846979107848933,-12.5,1.3088235294117945,-6.25,-0.10256410256411755,6.25,1.242647058823529,-6.25,1.0073529411764497,-6.25,0.0,0.0,-0.024812030075191904,6.25,1.5882352941176663,-12.5,0.2704347826087092,0.0,0.6323529411764355,0.0,-1.3125763125763115,12.5,1.2647058823529918,6.25,-0.625,18.75,0.11029411764709351,6.25,-0.12631578947371244,6.25,0.9558823529411787,0.0
11,-0.3839638622247565,-6.25,-0.15384615384612252,0.0,-1.0386529386529608,6.25,-0.729603729603706,6.25,-0.014705882352942012,-6.25,1.3779411764705705,-12.5,0.42631578947366444,-12.5,-0.09010989010983814,12.5,0.45849802371544063,-12.5,-0.5558823529411484,0.0,-0.14387464387466217,6.25,1.2401960784313815,0.0,-0.5619047619047706,6.25,0.09558823529408376,-6.25,0.2526315789473428,0.0,-0.6519607843137081,12.5,1.5403726708074255,-6.25,1.3602941176470418,0.0,0.41880341880343397,6.25,1.5343137254901578,-6.25,-0.28921568627448835,6.25,0.0,0.0,0.7473684210526459,-6.25,1.6274509803921404,6.25,1.536521739130456,-12.5,1.068627450980415,0.0,-0.49572649572650107,6.25,0.9803921568627132,12.5,0.25,0.0,-0.200980392156886,0.0,0.6421052631578826,0.0,1.3735294117646693,-6.25
12,-0.6521739130434655,6.938893903907228E-16,-0.5329670329670554,-7.114100974980886E-13,-1.1174174174174303,6.25,-0.35547785547783983,-5.204170427930421E-16,0.40441176470589824,-6.25,0.5426470588234754,6.25,-0.4669172932330645,-3.469446951953614E-16,0.2329670329670447,-12.499999999999291,-0.4505928853754943,3.5457747848965937E-13,-0.6852941176470267,-8.673617379884035E-16,-0.27146927146925204,12.5,1.4142156862744741,-12.500000000000714,-0.5333333333333599,8.239936510889834E-16,0.4485294117646921,-12.500000000000004,0.36140350877191296,6.250000000000355,-0.678921568627409,6.25,0.9960474308300145,1.6479873021779667E-15,1.4117647058824028,-6.250000000000002,0.9401709401709286,6.938893903907228E-16,0.8259803921569002,12.5,0.41421568627451677,6.25,0.0,0.0,0.5195488721804269,-6.250000000000355,1.6666666666666146,-1.3877787807814457E-15,1.8026086956522027,-6.25,1.5049019607842808,-7.107162081076979E-13,0.3211233211233093,-6.2499999999996465,2.6960784313725483,-18.75000000000071,1.125,-12.5,0.48774509803924815,-6.24999999999929,1.4105263157894778,-6.249999999999645,1.7911764705882736,-12.5
13,-0.9203839638622314,0.0,0.0879120879121255,0.0,-1.1961818961818997,6.2500000000003535,0.018648018648026333,-6.2499999999992895,-0.17647058823531836,-3.552713678800501E-13,0.7073529411764942,1.8503717077086074E-15,-1.3601503759398503,6.250000000000355,0.5560439560439275,-12.5,-0.35968379446642923,-6.249999999999998,-0.8147058823529051,-8.673617379884035E-16,-0.3990638990638987,12.499999999999641,0.5882352941176805,-3.469446951953614E-15,-0.5047619047618923,-3.544040061420617E-13,-0.19852941176469965,7.105427357601002E-13,0.47017543859648314,0.0,0.2941176470587763,-7.095019016745141E-13,1.4517221908526035,-6.2500000000003535,1.46323529411765,-6.2499999999992895,1.46153846153848,3.552713678800501E-13,1.117647058823529,6.249999999999999,0.11764705882352189,-6.250000000000355,0.0,0.0,0.2917293233082648,3.561387296180385E-13,1.7058823529412024,-6.2500000000007105,2.0686956521738926,-3.552713678800501E-13,1.9411764705882604,-12.499999999999291,0.13797313797311972,6.2499999999996465,1.4117647058823835,-12.50000000000071,0.0,3.544040061420617E-13,0.17647058823526862,-6.25,1.178947368421073,0.0,1.2088235294117642,0.0
14,-1.1885940146809975,6.25,-0.2912087912088073,-6.250000000000002,-1.2749463749463692,6.249999999999646,0.3927738927738925,-7.08461067588928E-13,0.2426470588235219,6.250000000000355,0.8720588235293992,-12.499999999999996,-1.2533834586466361,6.249999999999643,-1.1208791208790758,12.499999999999998,-0.2687747035573073,-12.500000000000355,-0.9441176470587834,-6.249999999999999,1.4733414733414547,-18.75,-0.23774509803922683,6.250000000000708,-0.4761904761904816,0.0,-0.8455882352940913,12.50000000000071,1.5789473684210533,-12.499999999999645,0.26715686274507533,-12.49999999999929,0.9073969508751925,3.5388358909926865E-13,0.5147058823528975,6.25,1.9829059829059748,-6.249999999999645,2.4093137254901578,-18.75,0.821078431372527,-12.499999999999645,0.0,0.0,0.06390977443610261,6.250000000000002,1.7450980392156765,-6.250000000000002,2.3347826086956394,-6.249999999999645,2.377450980392126,-12.49999999999929,0.9548229548229301,-6.249999999999645,1.127450980392105,6.24999999999929,0.875,-3.552713678800501E-13,-0.13480392156859722,7.105427357601002E-13,1.9473684210526112,-6.250000000000355,0.6264705882352549,6.2499999999992895
15,-1.4568040654997065,6.25,0.3296703296703735,6.2500000000007105,-0.3537108537108387,-6.249999999999645,-0.2331002331002413,18.75,-0.33823529411763786,6.249999999999645,0.03676470588230434,6.25,-2.146616541353365,12.499999999999645,-0.7978021978021931,12.5,-2.177865612648242,12.499999999999645,-1.0735294117646617,6.2499999999992895,1.3457468457468649,-12.5,-0.06372549019613416,0.0,-0.4476190476190709,-3.552713678800501E-13,-0.49264705882348303,6.25,0.6877192982456235,-6.249999999999645,1.2401960784313744,-18.75000000000071,0.3630717108977814,12.499999999999645,0.5661764705882585,7.105427357601002E-13,2.504273504273526,-12.5,1.7009803921569002,-18.75000000000071,-0.47549019607841103,6.250000000000355,0.0,0.0,-0.16390977443611637,0.0,0.7843137254901507,0.0,2.600869565217386,-6.25,0.8137254901961057,7.105427357601002E-13,1.7716727716727974,-18.750000000000355,-0.15686274509805997,12.50000000000071,-0.25,3.552713678800501E-13,-0.44607843137257674,6.2499999999992895,1.7157894736842063,-12.5,1.0441176470588591,-6.2500000000007105
16,-0.7250141163184723,-3.5561831257524545E-13,-1.0494505494505593,18.75000000000071,-0.43247533247530817,3.5492442318485473E-13,1.1410256410256248,6.250000000000002,1.0808823529412024,-12.500000000000359,-0.798529411764677,12.499999999999288,-1.039849624060151,3.5561831257524545E-13,-0.47472527472531023,6.249999999999291,-2.08695652173912,25.000000000000355,-2.2029411764706537,18.75,0.2181522181522181,6.25,-0.8897058823529278,6.2500000000007105,-0.41904761904760335,6.25,-0.13970588235298845,-6.25,0.7964912280701937,-3.5457747848965937E-13,-0.7867647058823266,12.5,0.8187464709203705,1.3877787807814457E-15,0.6176470588235058,-12.5,2.0256410256410207,-6.250000000000355,0.992647058823529,7.098488463697095E-13,-0.7720588235294059,12.5,0.0,0.0,0.6082706766917214,-6.249999999999645,0.8235294117647385,7.119305145408816E-13,1.8669565217391328,3.524958103184872E-13,1.2499999999999716,-6.24999999999929,0.5885225885226077,6.249999999999645,0.5588235294117752,-6.25,0.625,-6.2500000000003535,-0.7573529411764426,6.25,1.4842105263158014,-3.469446951953614E-16,0.4617647058823498,0.0
17,-0.9932241671372383,-1.734723475976807E-15,1.5714285714286216,-6.25,-0.5112398112398344,6.250000000000357,2.515151515151491,-12.5,0.4999999999999858,-12.5,0.36617647058822816,-12.5,-0.9330827067669367,3.559652572704408E-13,-0.15164835164831367,12.500000000000004,-1.9960474308300553,6.250000000000355,-0.33235294117653214,6.250000000000002,1.0905575905575715,-6.249999999999998,-0.7156862745098351,6.25,-0.39047619047619264,12.500000000000004,0.21323529411761985,-8.239936510889834E-16,-0.09473684210523617,1.734723475976807E-15,-0.8137254901960276,12.5,1.2744212309429594,-12.5,-0.3308823529411332,0.0,1.5470085470085724,3.2959746043559335E-15,-0.7156862745098422,12.50000000000071,-0.0686274509804008,3.552713678800501E-13,0.0,0.0,-0.6195488721804407,6.249999999999645,-0.13725490196078738,-7.133182933216631E-13,2.1330434782608796,-6.250000000000355,-0.3137254901960489,6.250000000000002,0.40537240537241814,12.5,0.2745098039216103,-12.499999999999293,-0.5,0.0,-0.06862745098042211,-7.101957910649048E-13,0.2526315789473396,6.250000000000355,-0.12058823529415956,-6.250000000000709
18,-0.2614342179559474,-3.531896997088779E-13,1.1923076923076887,7.126244039312724E-13,0.40999570999569607,-6.249999999999999,2.8892773892773573,12.499999999999996,-0.08088235294117396,12.500000000000355,-0.46911764705886677,0.0,-0.8263157894736657,6.250000000000355,1.1714285714285693,12.500000000000714,0.09486166007906666,-18.75,-0.4617647058824105,12.500000000000707,-0.03703703703701841,3.552713678800501E-13,-0.5416666666666288,7.105427357601002E-13,0.6380952380952181,-2.0816681711721685E-15,-0.4338235294117718,6.25,0.01403508771927717,3.531896997088779E-13,0.15931372549015776,-6.2500000000007105,0.7300959909655484,-6.2499999999996465,-1.279411764705886,12.5,1.068376068376067,6.25,-0.4240196078430998,7.147060721024445E-13,-0.3651960784313957,-6.250000000000355,0.0,0.0,0.15263157894739715,3.557050487490443E-13,-0.09803921568631324,-6.250000000000004,1.3991304347826263,6.249999999999643,-0.877450980392183,6.250000000000002,1.2222222222222285,-6.25,-1.0098039215686683,6.250000000000004,-0.625,12.499999999999643,-0.37990196078428795,7.105427357601002E-13,1.0210526315789348,-12.5,0.29705882352944474,-12.5
