Run Summary        (Smart Cycler 2.0d)
Run Name:,SALM_SAMPLES6-10_SER_DIL_1
Started At:,"Mar 15, 2017 02:39 PM"
Number of Sites:,22

Cycle Data

Instrument A
,A1,A1,A1,A1,A2,A2,A2,A2,A3,A3,A3,A3,A4,A4,A4,A4,A5,A5,A5,A5,A6,A6,A6,A6,A7,A7,A7,A7,A8,A8,A8,A8,A9,A9,A9,A9,A10,A10,A10,A10,A11,A11,A11,A11,A12,A12,A12,A12,A13,A13,A13,A13,A14,A14,A14,A14,A15,A15,A15,A15,A16,A16,A16,A16
,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2
Cycle #,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2
1,-0.18961038961039095,0.0,24.05220935220936,0.0,-6.993865293865295,0.0,-9.52640692640693,0.0,1.5882352941176414,0.0,-8.80865800865799,0.0,0.4225108225108272,0.0,-19.36315789473683,0.0,-7.1630769230769245,0.0,-11.18441558441558,0.0,-0.782266009852218,0.0,-4.91228070175438,0.0,-8.284141726866187,0.0,-15.336090225563884,0.0,-5.149783549783552,0.0,-11.270175438596501,0.0,-6.144615384615382,0.0,-0.49172932330827135,0.0,-11.29655172413793,0.0,-13.612781954887216,0.0,-1.3631578947368408,0.0,-2.6263157894736775,0.0,-1.5070581592320769,0.0,-3.3245614035087794,0.0,-12.249230769230776,0.0,-16.530075187969913,0.0,-6.251231527093596,0.0,-20.473684210526315,0.0,-6.366701066391466,0.0,-17.28421052631579,0.0,-9.489177489177496,0.0,-17.645614035087718,0.0
2,0.49740259740257214,0.0,26.14538824538826,0.0,-3.2202488202488246,0.0,-4.4445887445887085,0.0,2.906862745098028,0.0,-4.978787878787915,0.0,0.32770562770563744,0.0,-13.926315789473664,0.0,-4.74538461538459,0.0,-6.589610389610391,0.0,-0.7694581280787917,0.0,-2.210526315789448,0.0,-8.145854833161343,0.0,-13.355639097744392,0.0,-0.3601731601731501,0.0,-6.905263157894713,0.0,-4.743076923076932,0.0,-1.5330827067668846,0.0,-8.875862068965533,0.0,-11.14887218045117,0.0,-1.505263157894714,0.0,-2.18947368421051,0.0,-0.2557876905702761,0.0,0.4736842105262882,0.0,-8.53615384615385,0.0,-11.879699248120316,0.0,-4.179802955665041,0.0,-12.605263157894754,0.0,-4.155142758857915,0.0,-11.294736842105225,0.0,-6.722943722943728,0.0,-12.178947368421019,0.0
3,2.184415584415592,-25.0,29.238567138567163,-56.25,-0.4466323466323534,-43.75,-2.3627705627706006,-43.75,2.2254901960784146,-6.25,-3.148917748917728,-25.0,0.23290043290044765,6.25,-8.489473684210497,-25.0,-2.327692307692312,-25.0,-2.9948051948052012,-31.25,0.24334975369457773,0.0,-1.508771929824516,0.0,-5.007567939456498,0.0,-9.375187969924786,-6.25,0.4294372294372522,-31.25,-2.5403508771930396,-43.75,-5.341538461538481,6.25,-1.5744360902256116,0.0,-6.455172413793081,-18.75,-9.684962406015009,6.25,0.35263157894735603,-12.5,-1.7526315789473428,0.0,-1.004517221908532,0.0,-2.728070175438644,6.25,-6.823076923076923,-6.25,-8.22932330827072,-25.0,-4.108374384236429,0.0,-10.736842105263193,-31.25,-2.9435844513243645,-6.25,-8.305263157894773,-25.0,-3.95670995670996,-25.0,-7.712280701754436,-25.0
4,1.8714285714285552,-18.75,30.331746031746064,-75.0,-0.6730158730158824,-18.75,-0.2809523809523796,-37.5,2.544117647058801,-12.5,-1.3190476190476546,-25.0,0.13809523809525787,0.0,-4.052631578947329,-37.5,-1.9099999999999777,-18.75,-0.40000000000001135,-37.5,1.256157635468004,-12.5,1.1929824561403026,-18.75,-2.8692810457516535,-18.75,-6.394736842105293,-18.75,1.2190476190475976,-12.5,-2.175438596491252,-18.75,-4.939999999999974,12.5,-1.6157894736842249,0.0,-5.034482758620685,-18.75,-6.221052631578962,-18.75,0.21052631578948283,-12.5,-1.3157894736841753,0.0,-0.7532467532467313,6.25,-1.9298245614034626,25.0,-4.109999999999997,-12.5,-5.5789473684210105,-18.75,-3.036945812807874,0.0,-7.868421052631633,0.0,-1.7320261437908704,-12.5,-6.315789473684207,-12.5,-4.1904761904761925,6.25,-4.245614035087739,-31.25
5,0.5584415584415752,12.5,25.424924924924966,-12.5,-0.8993993993994114,6.25,-2.1991341991341584,12.5,1.8627450980391878,-12.5,-1.4891774891774674,-12.5,1.043290043290068,-18.75,-1.6157894736841614,-43.75,-1.4923076923077,0.0,0.1948051948051784,-25.0,1.2689655172413734,-12.5,1.8947368421052349,-18.75,-1.7309941520468095,-18.75,-4.414285714285687,-12.5,1.008658008658,-6.25,-0.8105263157894645,-12.5,-3.5384615384615237,0.0,-2.6571428571428384,18.75,-4.613793103448289,0.0,-4.757142857142801,-18.75,0.06842105263155279,0.0,-0.8789473684210078,0.0,-0.5019762845849873,0.0,-1.1315789473683948,-6.25,-2.396923076923071,-25.0,-3.928571428571415,-6.25,-1.9655172413793187,0.0,-5.999999999999958,0.0,-0.5204678362573197,-18.75,-3.3263157894736413,-25.0,-2.4242424242424248,6.25,-1.778947368421042,-31.25
6,0.2454545454545382,12.5,22.518103818103867,12.5,-1.1257829257829404,0.0,-2.117316017316051,25.0,0.18137254901963118,12.5,-1.659307359307394,6.25,-0.05151515151512172,-6.25,-0.17894736842099393,-31.25,-2.0746153846153654,6.25,-0.2103896103896318,-6.25,1.2817733990147997,-6.25,1.596491228070167,-12.5,-0.5927072583419083,-12.5,-2.4338345864661948,-12.5,0.7982683982684022,0.0,-0.445614035087677,-6.25,-3.136923076923073,6.25,-1.6984962406014514,12.5,-4.193103448275837,12.5,-4.293233082706754,6.25,-0.0736842105263204,6.25,-0.4421052631578404,0.0,-0.2507058159231866,0.0,-0.33333333333332704,-6.25,-1.6838461538461449,-6.25,-2.278195488721819,-12.5,-1.8940886699507635,6.25,-3.1315789473683973,-6.25,-1.3089095287237689,6.25,-3.336842105263189,0.0,-0.6580086580086573,-18.75,-1.312280701754345,-6.25
7,0.9324675324675582,-6.25,19.61128271128277,0.0,-0.35216645216646936,-6.25,-0.03549783549783001,-6.25,-0.49999999999998224,12.5,-1.8294372294372068,6.25,-1.1463203463203684,25.0,-1.7421052631579401,12.5,-0.6569230769230879,-6.25,-0.615584415584442,6.25,0.2945812807881692,6.25,2.2982456140350993,-18.75,-1.4544203646370641,6.25,-1.4533834586465888,-12.5,0.5878787878788045,0.0,-1.0807017543860031,6.25,-1.7353846153846224,0.0,-0.7398496240601784,-6.25,-2.7724137931034414,6.25,-2.829323308270707,12.5,-0.2157894736841936,6.25,-0.005263157894786572,0.0,5.646527385573833E-4,0.0,-0.5350877192982593,0.0,-1.9707692307692188,12.5,-0.6278195488722232,-12.5,0.17733990147784848,-6.25,-1.263157894736836,-6.25,-1.097351221190218,12.5,-2.3473684210526233,18.75,0.10822510822511049,-12.5,-0.8456140350877617,0.0
8,0.6194805194805213,-6.25,16.704461604461557,0.0,-1.5785499785499983,6.25,0.04632034632039108,-12.5,-0.18137254901959565,-6.25,-0.9995670995671333,0.0,-1.2411255411255582,18.75,-1.3052631578947727,18.75,-1.2392307692307536,6.25,-1.0207792207792523,12.5,0.3073891625615955,0.0,3.157967714489334E-14,6.25,-0.3161334709322198,6.25,-0.47293233082709657,-6.25,0.37748917748915006,0.0,0.2842105263157843,0.0,-0.33384615384617194,-6.25,0.21879699248120832,-6.25,-1.3517241379310454,-6.25,-1.3654135338345466,6.25,0.6421052631578763,-6.25,0.43157894736838087,-6.25,0.2518351214003582,0.0,0.2631578947368085,0.0,-0.25769230769229284,0.0,-0.9774436090225137,6.25,0.24876847290640366,-6.25,0.6052631578947248,-6.25,0.11420708634333256,-6.25,-0.3578947368420573,-6.25,-0.1255411255411218,6.25,0.6210526315789353,-6.25
