dilution,enterica,typhimurium,irumu,newport,infantis,"4,[5], 12:i:- ",montevideo,cerro,hadar,muenchen
1,22.1882,22.0732,22.2464,22.2656,22.3003,22.3114,21.9088,22.6734,22.1203,22.4277
10,22.4293,22.7436,22.8154,22.5891,22.6304,22.4367,22.7137,22.4442,22.8639,22.855
100,23.317,22.9821,22.4586,22.7199,22.6128,22.8488,22.7059,22.6335,22.9691,23.0996
1000,23.5224,23.1765,23.2112,22.8615,22.8974,23.0806,22.85,23.2201,23.0376,0
