project,inwr,hnwr,cvca,ahav,pratt,tooth,preserve,tribal,ahakhav,bend,planet,ranch,pver,pintail,overton,floyd,emerald,achii,dandy,blankenship,golden,pulpit,palo,gila,muddy,william,havasu,cibola,paz,butler,mcallister,laguna,mohave,alamo,bubbling,dexter,mead,davis,senator,yuma,imperial,moabi,needles,beal
e14,1.082352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070588235,0,0.070588235,0.376470588,0,0,0.105882353,0.176470588,0,0,0,0,0.235294118,0,0,0,0,0,0,1.294117647,5.352941176,0,0.070588235,0
e15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000784651,0,0,0,0,0.000126557,0,7.59E-05,0.000404981,0,0,0.000227802,0.000809963,0,0,0,0,0.000455604,0,0,0,0.000202491,0.000911208,0,0.001164321,0.000632783,0,7.59E-05,0
e16,0,0,0,0,0,0,0,0.002466921,0,0,0,0,0,0,0,0,0,0,0,0,0.001794124,0,0.002915452,0.002915452,0,0,0.000448531,0.003139717,0,0.000672797,0,0,0.002466921,0,0,0,0.001569859,0.00123346,0,0.002915452,0.00403678,0,0.000448531,0
e17,0,0.00032985,0,0,0,0,4.50E-05,4.50E-05,0,0,0,0,0,0.000179918,0,0,0,0,0,0,0,0,7.50E-05,0.001259427,0,0,0.00188914,0.000164925,0,0,0,0,0.000209904,0,0,0,0.000359836,0.000104952,0.000809632,0.000164925,0.000389823,0,0.000299864,0.000884598
e18,0,0,0,0,0,0,0.005725532,0.010019682,0.001968152,0,0,0,0,0,0,0,0,0,0,0,0.001610306,0,0.006620147,0.003936303,0,0,0.005546609,0.010377527,0.002147075,0,0,0,0.007693684,0,0,0,0.00250492,0,0,0.019502594,0.009125067,0,0.001968152,0
e1,0,0.004446188,0.000523081,0,0,0,0,0,0,0,0,0,0.000392311,0,0,0,0,0,0,0,0.000588466,0,0.000653851,0.003269256,0,0,0.005688505,0.000850007,0,0,0,0,0.002484634,0,0,0,0,0,0,0.004903884,0.000784621,0,0.001961554,0.033869491
e21,0,0,0,0,0,0,0,0,0,0,0.006716611,0.007749935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000774994,0,0,0,0,0,0,0.000774994,0,0,0,0,0,0,0,0,0,0
e24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000374241,0,0.001209085,0.001554538,0,0,0.000489392,0.01534387,0.000316665,0,0,0,0.001122722,0,0,0,0,0,0,0.001439387,0.000460604,0,0.000374241,0
e25,0,0,0,0,0,0,0,0,0,0.025257479,0,0,0,0,0,0,0,0,0,0,0.001716528,0,0.001471309,0.002942619,0,0,0.001226091,0.001226091,0,0,0,0,0.003678274,0,0,0,0,0.004413928,0,0.006866111,0.001226091,0,0.00416871,0
e27,0,0,0,0,0,0,0,0.011438892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050571945,0,0,0,0,0,0,0,0.097230584,0,0,0,0,0,0,0,0.069837447,0,0,0,0
e2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005487805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158536585
e33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000579151,0.000772201,0,0,0,0.003281853,0,0,0,0,0.000579151,0,0,0,0,0,0,0.000579151,0.000772201,0,0,0
e3,0,0,0,0,0,0,0.011811379,0.005860608,0,0,0,0,0,0,0,0,0,0,0,0,0.000360653,0,0.000450816,0.002704896,0,0,0.000360653,0.000631142,0,0,0,0,0.001442611,0,0,0,0,0,0,0.001803264,0.000360653,0,0.000631142,0
e4,0,0,0.001349031,0,0,0,0,0,0,0,0,0.003433897,0.045008585,0,0,0,0,0,0,0,0.001716949,0,0.02281089,0.007358352,0,0,0.001716949,0.002084866,0,0,0,0,0.005150846,0,0,0,0,0,0,0.007480991,0.001716949,0,0.001962227,0
e5,0,0,0.041969782,0,0,0,0,0,0,0.000652863,0,0,0,0,0,0,0,0,0,0,0.00121246,0,0.002797985,0.004849841,0,0,0.00121246,0.024155941,0.000932662,0,0,0,0.005689237,0,0,0,0,0,0,0.005409439,0.00121246,0,0.00121246,0
e7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000546866,0.001093733,0,0,0,0.002187466,0,0,0,0,0.00098436,0,0,0,0,0,0,0.000765613,0,0,0,0
e8,0,0,0.000192212,0,0.000384423,0,0.000845731,0.000807289,0.000807289,0,0,0.000153769,0,0,0,0,0,0,0,0,0.000115327,0,0.000115327,0.000230654,0,0,0.000576635,0.004420866,0,0,0,0,0.000345981,0,0,0,0,0,0,0.000884173,0.000192212,0,0.000115327,0.000422865
e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98E-05,0,7.98E-05,0.00035926,0,0,9.98E-05,0.003512764,0.000139712,0,0,0,0.000279424,0,0,0,0,0,0,0.001397122,0.000119753,0,7.98E-05,0
f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001105845,0,0.094154818,0.003159558,0,0,0.001421801,0.107898894,0,0,0,0,0.003317536,0,0,0,0,0,0,0.008846761,0.001105845,0,0.001263823,0
f2,0,0,0,0,0.039590981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005243838,0,0,0,0.050078658,0,0,0,0.001048768,0.004981647,0,0,0,0.00131096,0,0,0.006030414,0,0,0.001048768,0.019664394
f3,0,0,0.034736842,0,0.019473684,0,0.007368421,0,0,0,0,0,0.034210526,0,0,0,0,0,0,0,0.003157895,0,0.020526316,0.006315789,0,0,0.02,0.056842105,0,0,0,0.007894737,0.009473684,0,0,0,0,0,0,0.031578947,0.043684211,0,0.005263158,0.049473684
f4,0,0,0.020962775,0,0.008212221,0,0.007401805,0.003781944,0.003025555,0,0,0,0.01842347,0,0,0,0,0,0,0,0.000918472,0,0.007563888,0.001728889,0,0,0.002107083,0.021935275,0,0,0,0.001188611,0.002269166,0,0,0,0,0,0,0.014317359,0.007239721,0,0.001728889,0.017396942
f6,0,0,0.036979003,0,0.006267628,0,0,0,0,0,0,0,0.019116264,0,0,0,0,0,0,0,0.000940144,0,0.004073958,0.001880288,0,0,0.001566907,0.006267628,0,0,0,0,0.002820432,0,0,0,0,0,0,0.003760577,0.000940144,0,0.000940144,0
f7,0,0,0,0,0,0,0,0,0,0.003882915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000597372,0,0,0.0010454,0.001344086,0,0,0,0,0.000896057,0,0,0,0,0,0,0.011499403,0.005824373,0,0.000448029,0.006571087
fy04,0,0,0,0,0.00747198,0,0.0124533,0.01120797,0.00747198,0,0,0,0,0.00622665,0,0,0,0.00996264,0,0,0,0,0,0,0,0,0.0124533,0.00747198,0,0.00747198,0,0,0.00373599,0,0,0,0,0,0,0,0.00622665,0,0,0.00498132
fy06,0,0,0,0,0,0,0.000377579,0.000308928,0.000240277,0,0,0,0,0,0,0,0,0.000308928,0,0,0,0,0.000308928,0.000205952,0,0,0.000686507,0.000755157,0,0.000308928,0.000274603,0,0.001338688,0.000102976,0.000274603,0.000343253,0.000823808,0.000308928,0,0.000274603,0.000480555,0,0,0.000823808
g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000988631,0,0,0.007414731,0,0,0,0
g3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000358938,0,0.000358938,0.001196458,0,0,0.001316104,0.000717875,0,0,0,0,0.010289543,0,0,0,0,0,0,0.005264417,0.000358938,0,0.005503709,0
g4,0,0,0,0,0,0,0,0.00094633,0,0,0,0,0,0,0,0,0,0,0,0,0.002208102,0,0.001396963,0.031724573,0.00027038,0,0.004641521,0.002613672,0,0,0,0,0.005227344,0,0,0,0.002163039,0.003785318,0,0.012167095,0.002658736,0,0.001261773,0
hcp,0,0,0,0,0,0,1.46E-05,8.27E-05,0,1.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000121634,0.000856306,0.000121634,3.89E-05,0.000248134,9.73E-05,1.46E-05,0,0,9.24E-05,0.000306519,2.43E-05,0,0,0.001250401,0.000253,4.38E-05,0.001026594,0.000306519,0,3.41E-05,0
i1,0,0,0,0,0,0,0,0.001382034,0,0,0,0,0.000987167,0,0,0,0,0,0,0,0.000987167,0,0.0023692,0.0023692,0,0.0017769,0.005133268,0.004540967,0,0,0,0,0.004146101,0,0.001974334,0,0.003948667,0,0,0.013228036,0.002171767,0,0.0011846,0.0023692
monitoring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
radio-tag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001379829,0,0,0,0,0,0,0,0,0,0.000878073,0,0,0,0,0,0,0.000376317,0.000376317,0,0,0
rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002021836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001213101,0,0,0,0.003234937,0,0,0.001617469,0,0,0,0
razorback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001148106,0,0,0,0,0,0.002296211,0,0,0,0.003827019,0,0,0,0,0.010332951,0,0.008036739,0.010332951,0.003444317,0,0,0.003061615,0,0,0,0
relict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002128008,0,0,0,0,0,0,0
species,0,0,0,0,0,0,0.000111191,0,0,0.000148255,7.41E-05,0.000222383,0,0,0.000222383,0,0,0,0,0,0.000166787,0,0.000148255,0.006226719,0.000444766,0,0.000889531,0.000704212,0,0,5.56E-05,0.000407702,0.002612998,0.000148255,0,0,0.001871722,0.000481829,9.27E-05,0.006078464,0.001834658,0,0.000444766,0.000203851
