Date,File#,Puff site#,Exposure (ms),Recording Length (ms),Flash Length (ms),Start frame of Flash,Start time of Flash (ms),No. of events at site,Max Amp at site,centroid_x (pixels),centoid_y (pixels),t_peak (frames),t_peak (ms),Amplitude (DF/F0),sigmax,sigmay,angle
1107,1,1.004,5,24920,500,850,4250,7,0.1596650279,40.0715148103,85.9446206685,4026,20130,0.1220119505,6.1366897082,7.2185533904,82.9601994277
1107,1,1.004,5,24920,500,850,4250,7,0.1596650279,39.7887778214,86.358334656,5625,28125,0.1596650279,5.4140532216,4.1808079831,55.9427206871
1107,1,1.004,5,24920,500,850,4250,7,0.1596650279,40.9172049445,84.4947925993,5697,28485,0.0968812276,5.7319556554,4.2019765103,55.4662539064
1107,1,1.005,5,24920,500,850,4250,6,0.6630433255,51.6804158946,54.1698667472,1223,6115,0.6630433255,3.5796379072,3.764634005,61.5870839042
1107,1,1.005,5,24920,500,850,4250,6,0.6630433255,51.3274542215,53.4567656435,2404,12020,0.6134571561,4.1696611299,4.6492436816,45.3307136129
1107,1,1.005,5,24920,500,850,4250,6,0.6630433255,51.8266053772,53.7335891004,2707,13535,0.4616302827,4.1968538955,4.0570544163,89.999985006
1107,1,1.005,5,24920,500,850,4250,6,0.6630433255,51.4595905127,53.9707948833,3257,16285,0.5025088117,3.752711304,3.8555710621,12.1300445252
1107,1,1.005,5,24920,500,850,4250,6,0.6630433255,51.7839746678,54.1206720847,3883,19415,0.4786559291,3.8156199711,4.1251924261,11.9654427626
1107,1,1.005,5,24920,500,850,4250,6,0.6630433255,51.7834115938,53.9200474364,4456,22280,0.5218249697,3.4684342969,3.6918473271,32.8726036866
1107,1,1.006,5,24920,500,850,4250,8,0.4494795082,34.8406304053,121.0666206977,1252,6260,0.3554914476,3.1212438433,4.4123181475,30.7633264038
1107,1,1.006,5,24920,500,850,4250,8,0.4494795082,34.5195024116,120.0480438518,1263,6315,0.0695605007,3.1135807623,5.4963453823,56.5111779943
1107,1,1.006,5,24920,500,850,4250,8,0.4494795082,35.858333998,124.4276053765,1983,9915,0.2041291193,2.2414596095,3.9462098135,89.9999881595
1107,1,1.006,5,24920,500,850,4250,8,0.4494795082,35.2547940656,121.9737177133,2085,10425,0.4494795082,3.1388829423,3.9594740701,16.1751681095
1107,1,1.006,5,24920,500,850,4250,8,0.4494795082,34.3558754419,119.9944480542,2835,14175,0.1923162706,2.7232697403,3.5886790003,41.15788824
1107,1,1.006,5,24920,500,850,4250,8,0.4494795082,35.0714528948,120.9784066161,3122,15610,0.4340647236,3.3389931361,3.9728755559,26.2791492388
1107,1,1.006,5,24920,500,850,4250,8,0.4494795082,33.9733159333,119.5325109414,5078,25390,0.2277273794,2.0000021605,2.0000027923,81.7491984516
1107,1,1.006,5,24920,500,850,4250,8,0.4494795082,35.1772532013,120.6532665033,5345,26725,0.3830599379,3.3716751861,4.7468114623,22.8859889729
1107,1,1.007,5,24920,500,850,4250,5,1.1975073515,56.0969106981,37.4921833743,1283,6415,1.1975073515,4.7242159127,3.5894319517,52.677572732
1107,1,1.007,5,24920,500,850,4250,5,1.1975073515,56.2376248364,37.3736006318,2525,12625,1.034725626,3.9809203005,3.6411931607,48.8436222067
1107,1,1.007,5,24920,500,850,4250,5,1.1975073515,56.3327579283,37.1723358725,3011,15055,1.0126871195,3.9564807447,3.4827817808,51.8920181711
1107,1,1.007,5,24920,500,850,4250,5,1.1975073515,55.9995143741,37.2354679317,4529,22645,0.7561960335,3.7796028959,3.4578718263,46.0834901207
1107,1,1.007,5,24920,500,850,4250,5,1.1975073515,56.2108989187,37.0474753338,5214,26070,0.767507705,3.6621181093,3.5840191689,76.3896462346
1107,1,1.008,5,24920,500,850,4250,6,0.1782615402,84.9314174278,56.4860647151,1304,6520,0.166874974,7.0024803047,4.2953976555,58.3854389969
1107,1,1.008,5,24920,500,850,4250,6,0.1782615402,85.2944817201,55.2394302403,2516,12580,0.1702577814,9.9999295688,5.2536833299,44.2356881123
1107,1,1.008,5,24920,500,850,4250,6,0.1782615402,85.3221140977,56.9889691528,4623,23115,0.1782615402,5.7918783846,4.9346624911,65.2657920076
1107,1,1.008,5,24920,500,850,4250,6,0.1782615402,85.5020557498,57.0431220109,4751,23755,0.1129599916,5.4820596233,2.5693017098,48.876167615
1107,1,1.008,5,24920,500,850,4250,6,0.1782615402,88.0853766074,55.093563538,5195,25975,0.0851139186,8.5936255486,9.4974853464,0.0040878751
1107,1,1.008,5,24920,500,850,4250,6,0.1782615402,85.2268179765,57.0576620423,5422,27110,0.1265584031,6.8518553713,6.3696338533,89.9998804308
1107,1,1.009,5,24920,500,850,4250,1,0.0466821502,60.5668966799,79.0035776265,1358,6790,0.0466821502,3.424029111,2.0000000004,58.1455915443
1107,1,1.01,5,24920,500,850,4250,1,0.0704679288,58.828242939,81.6470137846,4268,21340,0.0704679288,4.7643454315,2.0000280368,83.1446164179
1107,1,1.011,5,24920,500,850,4250,3,0.1193733602,19.5437672845,65.8202603318,1372,6860,0.0906147983,6.8521175562,4.4795816283,63.8211437465
1107,1,1.011,5,24920,500,850,4250,3,0.1193733602,19.6020764493,65.7368160258,4009,20045,0.1107174751,9.9999494931,4.9915128286,66.4677528528
1107,1,1.011,5,24920,500,850,4250,3,0.1193733602,19.2916549994,65.4764564961,4011,20055,0.1193733602,6.7771989213,5.2903603077,55.3167469444
1107,1,1.012,5,24920,500,850,4250,6,0.6445337555,39.2599215805,123.9084256927,1389,6945,0.4398990837,4.2856940337,4.5370036983,35.5051032341
1107,1,1.012,5,24920,500,850,4250,6,0.6445337555,38.8808097837,126.670690859,1927,9635,0.3998661809,4.1738539923,6.7116507557,0.0034310528
1107,1,1.012,5,24920,500,850,4250,6,0.6445337555,39.1172154454,127.1315178755,2430,12150,0.4536225612,4.6306022556,3.8345038723,89.9986618977
1107,1,1.012,5,24920,500,850,4250,6,0.6445337555,38.8819542521,126.1513511829,3418,17090,0.2199850747,2.1158112643,4.0081555711,0.0113480988
1107,1,1.012,5,24920,500,850,4250,6,0.6445337555,39.5275767436,124.6604447917,3687,18435,0.4377821028,4.1194601696,5.2270265061,0.0333648212
1107,1,1.012,5,24920,500,850,4250,6,0.6445337555,38.3485770986,127.5973082445,5102,25510,0.6445337555,4.1014402785,6.1665359115,16.1017958226
1107,1,1.013,5,24920,500,850,4250,8,0.6614155073,51.7642057514,44.9044930799,1414,7070,0.6582131252,3.5316172426,3.7206100736,18.25989029
1107,1,1.013,5,24920,500,850,4250,8,0.6614155073,49.0297064731,42.0619333664,2119,10595,0.262594642,4.4379721141,3.5634257747,83.8977540505
1107,1,1.013,5,24920,500,850,4250,8,0.6614155073,51.6046381585,44.8216262685,3552,17760,0.6614155073,3.7034715951,3.9628817425,0.0011863696
1107,1,1.013,5,24920,500,850,4250,8,0.6614155073,50.7230749043,44.0745239453,4381,21905,0.3452207931,3.3610677679,3.8984186586,25.2634375551
1107,1,1.013,5,24920,500,850,4250,8,0.6614155073,51.4755741341,47.1744966216,4731,23655,0.4805705763,6.6897642206,4.0133512597,89.9989038773
1107,1,1.013,5,24920,500,850,4250,8,0.6614155073,51.483376407,45.3277662383,5273,26365,0.6547665692,3.4536122425,3.8023745268,61.8669709884
1107,1,1.013,5,24920,500,850,4250,8,0.6614155073,51.2740165961,44.8371107756,5408,27040,0.3243981827,3.7460885958,3.2500400852,86.7700279475
1107,1,1.013,5,24920,500,850,4250,8,0.6614155073,51.5859162947,43.7182455356,5868,29340,0.0435821783,6.0815636958,4.933489763,89.9994384185
1107,1,1.014,5,24920,500,850,4250,7,0.4717131406,114.4113547319,66.6079530097,1527,7635,0.3824365201,2.0000074624,3.9636443012,80.3995933492
1107,1,1.014,5,24920,500,850,4250,7,0.4717131406,114.364617332,66.0832708928,2515,12575,0.3341553079,4.505040947,2.6473479165,2.995501362
1107,1,1.014,5,24920,500,850,4250,7,0.4717131406,114.8381759112,65.4832296684,3398,16990,0.4717131406,2.0001378323,3.2100745715,71.7642914102
1107,1,1.014,5,24920,500,850,4250,7,0.4717131406,114.0675855736,68.3186375169,3817,19085,0.2643032854,4.4400630731,4.388320712,0.0287193389
1107,1,1.014,5,24920,500,850,4250,7,0.4717131406,115.2310953543,67.0576119776,3927,19635,0.3906397885,2.8362192133,2.1275110484,89.9967120387
1107,1,1.014,5,24920,500,850,4250,7,0.4717131406,114.6590812008,66.3094582136,4259,21295,0.3358783656,3.7302000037,2.0520302147,13.2755854172
1107,1,1.014,5,24920,500,850,4250,7,0.4717131406,114.1411854918,66.887893135,4424,22120,0.1969705031,5.0380655993,3.424385428,0.0041504983
1107,1,1.015,5,24920,500,850,4250,2,0.7868952614,65.5782640619,60.7295217119,1588,7940,0.7868952614,3.2216722026,3.9100441335,23.7693837702
1107,1,1.015,5,24920,500,850,4250,2,0.7868952614,65.734968199,60.9457372292,5859,29295,0.5074436134,3.349911745,3.9872910947,28.7546409795
1107,1,1.016,5,24920,500,850,4250,1,0.0590032269,65.0748645382,64.5258327411,4913,24565,0.0590032269,9.7890646293,3.4721075321,48.645317649
1107,1,1.017,5,24920,500,850,4250,1,0.083659514,51.2419565002,77.2789967687,1733,8665,0.083659514,3.1827370158,4.2090755441,55.3873648026
1107,1,1.018,5,24920,500,850,4250,3,0.1819393473,53.3827101175,72.0994959954,1770,8850,0.1230901458,2.4103441169,2.0000348614,6.639434963
1107,1,1.018,5,24920,500,850,4250,3,0.1819393473,53.3829869927,73.3558765386,2137,10685,0.1819393473,3.4104191359,2.8333748602,43.7853718128
1107,1,1.018,5,24920,500,850,4250,3,0.1819393473,53.5787870247,73.5927423658,4225,21125,0.1655796536,3.2629548322,3.5511989361,89.999757323
1107,1,1.019,5,24920,500,850,4250,9,0.2035399736,49.3772666205,102.1588653441,1791,8955,0.1935080754,4.7884710076,4.1367394177,48.1488248611
1107,1,1.019,5,24920,500,850,4250,9,0.2035399736,50.2250372548,101.6247540607,2759,13795,0.1435076185,4.0960665415,5.238120007,15.9090554791
1107,1,1.019,5,24920,500,850,4250,9,0.2035399736,50.2164302634,101.573842179,3063,15315,0.1821683235,3.4956946865,4.289952955,26.9383087371
1107,1,1.019,5,24920,500,850,4250,9,0.2035399736,49.8216840087,101.8495928995,3541,17705,0.2035399736,4.9542189638,3.4988755963,56.7578106905
